Date,AAPL.O
18/4/11,47.40709545
19/4/11,48.26566602
20/4/11,48.91566537
21/4/11,50.09937847
22/4/11,
25/4/11,50.42980671
26/4/11,50.05994994
27/4/11,50.02137855
28/4/11,49.53566475
29/4/11,50.01852141
2/5/11,49.46852196
3/5/11,49.7428074
4/5/11,49.93852149
5/5/11,49.53566475
6/5/11,49.52280762
9/5/11,49.6570932
10/5/11,49.92137865
11/5/11,49.60423611
12/5/11,49.50995049
13/5/11,48.6428085
16/5/11,47.6142381
17/5/11,48.01995198
18/5/11,48.55280859
19/5/11,48.64709421
20/5/11,47.88852354
23/5/11,47.7713808
24/5/11,47.45566683
25/5/11,48.11138046
26/5/11,47.857095
27/5/11,48.20138037
30/5/11,
31/5/11,49.68995031
1/6/11,49.35852207
2/6/11,49.44309341
3/6/11,49.06280808
6/6/11,48.29138028
7/6/11,47.43423828
8/6/11,47.46280968
9/6/11,47.35566693
10/6/11,46.5570963
13/6/11,46.6570962
14/6/11,47.49138108
15/6/11,46.67852475
16/6/11,46.45138212
17/6/11,45.75138282
20/6/11,45.04566924
21/6/11,46.4713821
22/6/11,46.08709677
23/6/11,47.31852411
24/6/11,46.62138195
27/6/11,47.43423828
28/6/11,47.89423782
29/6/11,47.71995228
30/6/11,47.95280919
1/7/11,49.03709382
4/7/11,
5/7/11,49.91852151
6/7/11,50.25137832
7/7/11,51.0285204
8/7/11,51.38709147
11/7/11,50.571378
12/7/11,50.53566375
13/7/11,51.14566314
14/7/11,51.10994889
15/7/11,52.13137644
18/7/11,53.3999466
19/7/11,53.83566045
20/7/11,55.2713733
21/7/11,55.32708753
22/7/11,56.1856581
25/7/11,56.9285145
26/7/11,57.62994237
27/7/11,56.08422963
28/7/11,55.97422974
29/7/11,55.78280136
1/8/11,56.67851475
2/8/11,55.55851587
3/8/11,56.08137249
4/8/11,53.90994609
5/8/11,53.37423234
8/8/11,50.45852097
9/8/11,53.42994657
10/8/11,51.95566233
11/8/11,53.3856609
12/8/11,53.85566043
15/8/11,54.77280237
16/8/11,54.35423136
17/8/11,54.34851708
18/8/11,52.29280485
19/8/11,50.86137771
22/8/11,50.91994908
23/8/11,53.3713752
24/8/11,53.73994626
25/8/11,53.38851804
26/8/11,54.79708806
29/8/11,55.70994429
30/8/11,55.71280143
31/8/11,54.97565931
1/9/11,54.43280271
2/9/11,53.43566085
5/9/11,
6/9/11,54.24851718
7/9/11,54.84708801
8/9/11,54.87708798
9/9/11,53.92566036
12/9/11,54.27708858
13/9/11,54.94565934
14/9/11,55.6142301
15/9/11,56.13708672
16/9/11,57.2142285
19/9/11,58.80422691
20/9/11,59.06422665
21/9/11,58.87708398
22/9/11,57.40279974
23/9/11,57.7570851
26/9/11,57.59565669
27/9/11,57.03708582
28/9/11,56.71565757
29/9/11,55.79565849
30/9/11,54.47423124
3/10/11,53.5142322
4/10/11,53.2142325
5/10/11,54.03566025
6/10/11,53.90994609
7/10/11,52.8285186
